region,state,periodo_ref,chuva_media_acumulada,temperatura_media,umidade_media,vento_medio_kmh,pressao_media_inHg,radiacao_media
N,AC,2015-01-01,684.9668,24.908798,87.932335,4.269338,29.16569,1421.2184
N,AC,2015-04-01,296.94305,24.819609,86.686485,3.6541665,29.204876,1265.9933
N,AC,2015-07-01,133.28569,25.749765,79.73033,3.6831207,29.201097,1294.0522
N,AC,2015-10-01,480.02884,26.207973,81.70625,4.5820565,29.138437,1335.0619
N,AC,2016-01-01,563.2575,26.024975,86.252625,4.0926256,29.149685,1216.0544
N,AC,2016-04-01,160.74289,24.790014,84.35985,3.9244556,29.233019,1203.7015
N,AC,2016-07-01,91.71428,25.48196,75.93133,4.002733,29.206137,1320.9493
N,AC,2016-10-01,381.37164,26.369553,80.29183,5.277245,29.118027,1377.2662
N,AC,2017-01-01,405.54312,25.983656,74.555824,5.06152,29.140001,1375.6139
N,AC,2017-04-01,118.20002,26.286566,70.58916,3.3801937,29.156897,1514.3658
N,AC,2017-07-01,125.628555,25.658978,77.214096,3.9664085,29.201414,1455.4318
N,AC,2017-10-01,403.4861,25.924503,81.33332,4.882732,29.115088,1402.2675
N,AC,2018-01-01,322.9431,25.140198,86.01141,3.8906949,29.144499,1367.416
N,AC,2018-04-01,195.77148,24.809128,83.074165,3.3972485,29.24557,1133.5763
N,AC,2018-07-01,136.22856,25.228949,74.88584,4.291433,29.20025,1211.8245
N,AC,2018-10-01,569.9146,25.560501,84.27204,4.203099,29.130507,974.7206
N,AC,2019-01-01,694.57196,25.339523,86.57095,3.4164493,29.172781,960.9351
N,AC,2019-04-01,192.51431,25.552244,82.76854,3.1202815,29.226278,984.0596
N,AC,2019-07-01,199.62856,24.951494,76.67434,3.4781468,29.266962,1051.7252
N,AC,2019-10-01,657.9433,25.550217,84.64916,3.635271,29.174871,1110.5442
N,AC,2020-01-01,531.42896,25.795841,85.76556,3.4599264,29.187153,1034.8158
N,AC,2020-04-01,173.71436,26.010292,80.32619,3.885172,29.21647,1333.6237
N,AC,2020-07-01,96.628555,26.612516,76.76901,3.9116986,29.218678,1333.4752
N,AC,2020-10-01,165.82869,27.528698,78.15767,4.7142015,29.141302,1691.8245
N,AC,2021-01-01,296.45743,25.398802,85.88131,4.0740547,29.165857,2106.136
N,AC,2021-04-01,21.31428,26.773495,79.2307,5.2637796,29.284641,1665.1086
NE,AL,2015-01-01,114.7333,27.596144,70.929985,9.934802,29.531616,1672.7313
NE,AL,2015-04-01,363.80005,27.204401,76.626175,7.6006293,29.564157,1378.2565
NE,AL,2015-07-01,268.9669,24.83039,75.715904,7.690471,29.631449,1366.4653
NE,AL,2015-10-01,75.09998,27.238867,65.9985,10.190244,29.548513,1720.3163
NE,AL,2016-01-01,226.73341,27.49367,69.50765,7.8490486,29.528887,1549.4893
NE,AL,2016-04-01,359.00015,25.734396,74.38978,6.3618035,29.587793,1274.9077
NE,AL,2016-07-01,142.59987,24.321974,71.30604,7.5258365,29.63463,1418.3408
NE,AL,2016-10-01,47.93334,26.923828,65.8717,11.032037,29.521177,1697.9956
NE,AL,2017-01-01,63.89998,27.598259,65.4049,8.9425,29.505327,1843.5009
NE,AL,2017-04-01,567.1001,25.454779,77.19112,5.914776,29.562439,1382.9418
NE,AL,2017-07-01,207.54305,23.09584,77.84347,7.1976676,29.624842,1119.5116
NE,AL,2017-10-01,62.82856,26.19242,69.133156,9.465741,29.488516,1858.2201
NE,AL,2018-01-01,168.08572,27.067123,70.72668,8.318521,29.460268,1751.578
NE,AL,2018-04-01,261.97174,24.88623,78.20884,5.6595182,29.546316,1140.2504
NE,AL,2018-07-01,110.057175,23.956944,74.72154,7.3299217,29.597599,1386.324
NE,AL,2018-10-01,102.0857,26.746399,68.0396,9.9147415,29.492628,1892.4513
NE,AL,2019-01-01,178.40001,27.363096,71.598175,7.691596,29.488186,1709.8768
NE,AL,2019-04-01,200.74303,26.106646,75.6382,5.7830777,29.51677,1201.4391
NE,AL,2019-07-01,201.31442,24.063608,79.795616,6.886375,29.668406,1303.726
NE,AL,2019-10-01,28.800007,27.19629,65.13084,10.500519,29.537996,1760.5831
NE,AL,2020-01-01,117.257095,28.106684,68.38315,7.9284286,29.525377,1597.4259
NE,AL,2020-04-01,206.42873,26.239431,75.196594,5.7639146,29.583601,1364.5654
NE,AL,2020-07-01,78.82865,24.524479,70.45082,7.254158,29.62793,1458.679
NE,AL,2020-10-01,11.457145,27.373009,67.47162,9.714235,29.43232,1563.9341
NE,AL,2021-01-01,38.114277,27.629475,69.24303,8.0596485,29.360098,1669.1016
NE,AL,2021-04-01,17.857155,26.97292,74.13668,5.4021254,29.372961,1235.6677
N,AM,2015-01-01,748.16724,26.008293,83.283356,3.5435011,29.65408,1347.0308
N,AM,2015-04-01,476.15582,26.27596,83.07991,2.999209,29.68383,1260.8951
N,AM,2015-07-01,103.55554,28.008165,72.82083,3.429314,29.668076,1523.0438
N,AM,2015-10-01,330.1668,28.03347,75.01165,3.3717375,29.610355,1346.2733
N,AM,2016-01-01,562.0336,27.535583,78.62454,3.3616405,29.632849,1256.4678
N,AM,2016-04-01,439.01132,26.518618,82.802155,2.7175994,29.715254,1240.387
N,AM,2016-07-01,198.02225,27.139387,76.90562,2.9298697,29.696335,1464.6078
N,AM,2016-10-01,384.85617,27.100397,79.35664,3.0973117,29.655432,1261.5502
N,AM,2017-01-01,645.47217,25.992346,84.15053,2.7542937,29.648046,839.9599
N,AM,2017-04-01,420.72018,26.765036,83.221825,2.5534472,29.685017,951.9655
N,AM,2017-07-01,177.072,27.329544,76.26311,2.597797,29.686058,1125.6675
N,AM,2017-10-01,372.94418,27.1664,80.761086,2.7663865,29.601002,993.1913
N,AM,2018-01-01,361.20825,26.70961,81.50874,2.7617564,29.623444,961.23596
N,AM,2018-04-01,375.73624,26.278225,81.76579,2.3262177,29.689474,941.98486
N,AM,2018-07-01,147.48001,27.216345,75.26645,2.8115358,29.699842,1050.0747
N,AM,2018-10-01,301.92017,27.068415,76.57913,2.969352,29.623402,916.4181
N,AM,2019-01-01,625.1671,26.548855,80.678314,3.1865785,29.678865,1010.11615
N,AM,2019-04-01,552.11145,26.765915,82.461395,2.6239886,29.6877,900.713
N,AM,2019-07-01,212.75793,27.076363,76.715485,2.577456,29.71995,1073.4668
N,AM,2019-10-01,541.2213,26.60643,81.56343,2.7406497,29.616043,900.239
N,AM,2020-01-01,304.09488,27.425764,79.07267,3.2808523,29.646431,979.54114
N,AM,2020-04-01,307.85287,26.646648,82.23988,2.326689,29.679928,734.8246
N,AM,2020-07-01,80.95789,28.047813,72.75777,2.6782877,29.659943,919.1404
N,AM,2020-10-01,161.93684,27.353178,78.32844,2.8385446,29.618353,938.92
N,AM,2021-01-01,198.60008,26.609255,80.11736,2.47819,29.66083,874.5431
N,AM,2021-04-01,50.410526,27.025026,73.30086,2.3250554,29.670555,894.91626
N,AP,2015-01-01,225.30003,25.728376,84.945984,5.7513094,29.83632,1262.0131
N,AP,2015-04-01,0.0,28.227028,75.97991,3.939039,29.860401,1953.8551
N,AP,2015-07-01,74.7,27.55928,76.806816,6.528004,29.8466,1732.2314
N,AP,2015-10-01,188.09993,27.438519,76.1644,7.1483126,29.81723,1571.7092
N,AP,2016-01-01,862.6006,26.106085,85.98305,5.5059466,29.837889,1121.4492
N,AP,2016-04-01,750.79974,26.50579,85.0223,4.7610903,29.869276,1314.5128
N,AP,2016-07-01,163.79997,27.09898,78.97079,5.692623,29.861515,1631.0298
N,AP,2016-10-01,375.7,27.25879,77.08182,6.6483355,29.784718,1497.3097
N,AP,2017-01-01,1379.1987,25.193794,88.44792,4.5204167,29.822653,1022.6836
N,AP,2017-04-01,555.4003,26.13874,86.276474,4.7200527,29.828411,1221.2532
N,AP,2017-07-01,27.6,27.787834,76.60139,7.670522,29.824438,1428.4728
N,AP,2017-10-01,126.93331,27.602499,77.075615,7.526363,29.779144,1365.9097
N,AP,2018-01-01,430.60037,25.76534,83.21018,5.348404,29.79243,907.44055
N,AP,2018-04-01,492.73294,25.436754,84.48249,4.4950395,29.8426,1135.1742
N,AP,2018-07-01,304.6,26.843842,77.14981,6.48891,29.84862,1577.7494
N,AP,2018-10-01,437.00024,27.333733,75.117,7.139843,29.799683,1565.7251
N,AP,2019-01-01,454.25024,25.706923,84.03225,4.840134,29.836838,1092.0433
N,AP,2019-04-01,770.8504,26.894665,83.29798,4.919243,29.77174,1122.6775
N,AP,2019-07-01,184.35,26.723608,82.535194,5.4065843,29.774727,1451.5519
N,AP,2019-10-01,152.10007,27.863865,74.503494,8.133994,29.657204,1620.5862
N,AP,2020-01-01,330.6504,26.003456,83.76948,6.541378,29.710749,1240.3767
N,AP,2020-04-01,491.4503,26.280802,85.034996,5.6391335,29.72585,1285.5051
N,AP,2020-07-01,136.8,27.357655,77.26821,6.5773897,29.709583,1608.8113
N,AP,2020-10-01,200.70007,27.539648,76.57596,7.4203024,29.669395,1565.0216
N,AP,2021-01-01,445.0504,25.54329,85.69917,6.2444124,29.679882,1200.6934
N,AP,2021-04-01,118.04996,25.850403,86.07184,5.4898367,29.683136,1224.5845
NE,BA,2015-01-01,181.13998,25.90392,70.224266,7.6799746,28.721142,1643.2882
NE,BA,2015-04-01,265.63013,24.044437,76.44601,7.324936,28.736176,1242.7012
NE,BA,2015-07-01,101.42856,23.520964,68.17779,8.644643,28.782581,1466.9236
NE,BA,2015-10-01,82.014275,26.917381,60.448044,9.881312,28.685465,1752.5779
NE,BA,2016-01-01,314.63812,26.16268,72.28321,7.328382,28.685263,1571.9489
NE,BA,2016-04-01,108.02607,24.790785,68.54951,7.5629735,28.746962,1329.3224
NE,BA,2016-07-01,128.8261,23.662565,66.720116,8.220122,28.778576,1406.9701
NE,BA,2016-10-01,198.82176,25.960022,66.86647,9.188811,28.661345,1579.037
NE,BA,2017-01-01,171.78696,26.44039,66.2082,8.139109,28.65558,1621.0051
NE,BA,2017-04-01,161.50002,24.682285,70.707985,7.836314,28.703827,1368.5825
NE,BA,2017-07-01,134.83914,22.452272,67.65346,9.686148,28.820227,1451.965
NE,BA,2017-10-01,199.57393,25.650068,66.89763,8.96379,28.660978,1607.8059
NE,BA,2018-01-01,233.31496,25.972088,72.16828,7.547365,28.66873,1579.6714
NE,BA,2018-04-01,214.42134,23.767775,74.56549,7.3141155,28.769802,1310.9218
NE,BA,2018-07-01,76.40832,23.68125,65.89561,8.579096,28.80285,1495.7709
NE,BA,2018-10-01,296.0125,25.672043,68.900475,8.435788,28.703138,1541.9166
NE,BA,2019-01-01,206.4723,26.713839,68.30968,7.720665,28.722507,1664.9564
NE,BA,2019-04-01,196.81708,24.84665,74.340225,6.872251,28.768253,1365.7903
NE,BA,2019-07-01,160.80853,23.279514,68.57637,8.776826,28.820482,1435.3256
NE,BA,2019-10-01,126.96168,26.66144,62.28107,9.455121,28.679773,1697.5325
NE,BA,2020-01-01,332.19162,25.987247,72.8539,6.8412213,28.692602,1478.9019
NE,BA,2020-04-01,247.62993,23.815554,76.96331,6.7258043,28.773796,1191.8346
NE,BA,2020-07-01,107.263824,22.835129,68.16621,8.294265,28.821362,1399.2675
NE,BA,2020-10-01,130.82976,25.83586,66.03687,8.71275,28.738678,1607.5618
NE,BA,2021-01-01,64.314896,26.381353,65.7793,8.056331,28.664316,1645.8354
NE,BA,2021-04-01,45.3617,25.747051,70.86807,7.394808,28.575928,1450.038
NE,CE,2015-01-01,338.24292,27.209177,67.162926,9.02912,29.04922,1471.1072
NE,CE,2015-04-01,242.44295,26.514807,71.33348,7.690697,29.079876,1362.2609
NE,CE,2015-07-01,58.48573,27.051851,57.664852,11.403351,29.103146,1538.9882
NE,CE,2015-10-01,22.357145,28.521847,54.52546,12.134987,29.051296,1692.2897
NE,CE,2016-01-01,276.27148,27.3204,71.56096,7.364742,29.051718,1395.0101
NE,CE,2016-04-01,147.68571,27.08704,68.12303,6.9219413,29.08606,1358.2823
NE,CE,2016-07-01,6.7285733,27.664398,53.247078,10.181364,29.105564,1617.8871
NE,CE,2016-10-01,26.77143,28.69154,54.206177,11.228437,29.018688,1645.794
NE,CE,2017-01-01,344.42865,26.90587,71.18154,6.7483683,29.028248,1325.4767
NE,CE,2017-04-01,239.91435,26.37421,72.41012,6.445839,29.066328,1318.7643
NE,CE,2017-07-01,40.65714,27.05163,57.20345,9.777101,29.118769,1589.3065
NE,CE,2017-10-01,39.585705,28.385134,57.80475,10.646718,29.021603,1603.0068
NE,CE,2018-01-01,267.7877,26.780521,71.0655,6.9667425,28.93387,1393.7693
NE,CE,2018-04-01,186.61258,25.358871,74.08296,6.239953,28.994192,1327.0359
NE,CE,2018-07-01,32.474995,26.818916,59.462612,9.2261505,29.017723,1592.7463
NE,CE,2018-10-01,111.5875,27.753063,61.228397,9.768396,28.960222,1511.3202
NE,CE,2019-01-01,333.65018,26.18043,76.78385,6.160818,28.982252,1297.229
NE,CE,2019-04-01,210.8625,25.70964,77.336555,6.579607,28.997318,1218.9547
NE,CE,2019-07-01,29.274994,26.788012,59.679607,11.129071,29.028347,1474.0802
NE,CE,2019-10-01,32.9625,28.385868,56.395767,11.468959,28.930378,1586.2631
NE,CE,2020-01-01,385.76266,26.183554,78.17237,6.5334253,28.885784,1210.342
NE,CE,2020-04-01,131.12505,25.996845,70.10423,6.423204,29.097652,1228.801
NE,CE,2020-07-01,14.049999,26.453234,59.487106,10.154926,28.928106,1484.1923
NE,CE,2020-10-01,28.400002,27.6083,61.10294,10.741756,28.84941,1449.369
NE,CE,2021-01-01,181.16254,26.338697,72.03327,8.404335,28.841179,1221.8188
NE,CE,2021-04-01,58.612495,26.041046,76.28544,7.2023134,29.017923,1294.6982
CO,DF,2015-01-01,528.2671,21.954659,74.25938,7.112711,26.491991,1470.5576
CO,DF,2015-04-01,272.39993,20.366043,75.084236,7.624455,26.5539,1339.1401
CO,DF,2015-07-01,21.200005,21.802073,49.972492,8.936149,26.550268,1624.7653
CO,DF,2015-10-01,403.93335,24.07109,61.231487,7.7011294,26.476473,1568.953
CO,DF,2016-01-01,578.1338,22.546545,76.037865,7.2987237,26.492437,1467.1797
CO,DF,2016-04-01,16.6,21.669352,59.92456,7.479158,26.558907,1531.8539
CO,DF,2016-07-01,50.66666,21.99463,48.574215,8.832493,26.554756,1594.1763
CO,DF,2016-10-01,497.33362,22.526388,69.7591,8.144509,26.463442,1419.2543
CO,DF,2017-01-01,494.15027,22.152689,74.77921,7.3012533,26.491947,1507.5743
CO,DF,2017-04-01,78.79999,21.014414,68.58543,7.94736,26.552494,1456.1763
CO,DF,2017-07-01,11.92,20.703571,45.190163,11.078369,26.5416,1721.2959
CO,DF,2017-10-01,574.8004,22.884031,66.37456,8.506034,26.406445,1415.6229
CO,DF,2018-01-01,529.9603,21.976313,76.41107,7.190047,26.420557,1526.3041
CO,DF,2018-04-01,129.15999,20.147383,68.545975,8.107722,26.515026,1424.0496
CO,DF,2018-07-01,65.68001,21.593733,50.056023,8.374765,26.5038,1640.3383
CO,DF,2018-10-01,712.6407,22.20238,74.73816,7.3761454,26.426434,1332.7664
CO,DF,2019-01-01,492.9602,22.47977,74.79727,6.9932427,26.458878,1532.8118
CO,DF,2019-04-01,304.68002,20.952196,72.653534,6.95468,26.500195,1420.6143
CO,DF,2019-07-01,4.44,21.793446,47.3458,9.398796,26.52924,1668.3748
CO,DF,2019-10-01,526.0001,23.412708,65.70832,7.577101,26.413122,1497.7194
CO,DF,2020-01-01,1055.2405,22.099731,80.65835,7.17156,26.434193,1379.3373
CO,DF,2020-04-01,239.84,20.211452,72.98796,7.326284,26.513855,1404.7262
CO,DF,2020-07-01,31.680002,21.175716,49.265182,9.186089,26.513836,1714.3531
CO,DF,2020-10-01,548.4003,22.861929,68.93893,7.5531783,26.419561,1454.7117
CO,DF,2021-01-01,791.5605,21.860739,76.19632,6.6489763,26.420008,1492.0713
CO,DF,2021-04-01,99.55998,21.068645,73.142975,6.7015276,26.451834,1424.2621
SE,ES,2015-01-01,194.3111,26.566256,68.556076,9.566403,29.225925,1800.1907
SE,ES,2015-04-01,274.40002,22.144707,79.33748,7.4957175,29.335014,1145.8274
SE,ES,2015-07-01,116.62216,21.889402,76.40813,8.010265,29.35862,1290.6512
SE,ES,2015-10-01,182.2,25.798563,70.6309,9.77591,29.222569,1603.8253
SE,ES,2016-01-01,325.37778,26.21725,73.93951,8.243749,29.218685,1593.6936
SE,ES,2016-04-01,83.644424,23.02148,74.54682,7.441246,29.326046,1218.6011
SE,ES,2016-07-01,89.399956,21.650465,73.37678,8.481954,29.364786,1252.77
SE,ES,2016-10-01,480.1335,23.82915,77.67606,8.964398,29.225494,1333.7251
SE,ES,2017-01-01,152.92303,25.307404,73.71797,7.9080963,29.167494,1610.4285
SE,ES,2017-04-01,159.96918,22.449999,78.21503,6.9454503,29.262012,1175.9169
SE,ES,2017-07-01,118.66147,19.72715,77.577644,7.512172,29.393442,1216.0154
SE,ES,2017-10-01,402.80014,23.893398,76.0214,8.565537,29.15762,1328.4468
SE,ES,2018-01-01,375.89252,25.59092,75.67953,7.4043403,29.131247,1523.4666
SE,ES,2018-04-01,299.81546,21.75185,82.616776,5.9711576,29.290337,1100.0881
SE,ES,2018-07-01,117.769196,21.108501,78.84904,6.82426,29.29725,1090.63
SE,ES,2018-10-01,498.0619,23.801414,79.95625,7.8957424,29.17391,1194.6536
SE,ES,2019-01-01,234.63077,26.284359,74.894905,7.754577,29.16789,1518.3236
SE,ES,2019-04-01,203.44614,23.403288,80.65197,6.1653986,29.240969,1062.6267
SE,ES,2019-07-01,129.73843,20.943754,75.707535,7.892719,29.339626,1075.9146
SE,ES,2019-10-01,468.20032,24.121317,76.4561,8.0709305,29.170204,1305.455
SE,ES,2020-01-01,556.0927,25.120857,73.28669,7.223627,29.14324,1305.6993
SE,ES,2020-04-01,90.692276,23.375896,70.11153,7.077911,29.253176,1244.2571
SE,ES,2020-07-01,103.892265,22.15554,73.2008,7.9196615,29.290422,1234.9553
SE,ES,2020-10-01,321.12323,24.552858,74.416534,8.190724,29.237328,1346.8756
SE,ES,2021-01-01,303.8155,25.743635,71.26142,7.705557,29.220871,1564.4852
SE,ES,2021-04-01,43.47692,24.149231,70.419754,7.34568,29.274199,1350.1053
CO,GO,2015-01-01,487.61847,24.492249,71.99726,5.3404045,27.50161,1638.0507
CO,GO,2015-04-01,187.16362,22.376133,72.99631,4.88698,27.566545,1387.4305
CO,GO,2015-07-01,39.845455,23.889132,49.974754,5.9892106,27.557293,1556.253
CO,GO,2015-10-01,360.85474,26.135277,62.12643,5.838959,27.478294,1574.5223
CO,GO,2016-01-01,592.2642,24.466103,76.53166,5.152611,27.493608,1452.2168
CO,GO,2016-04-01,33.881813,23.267982,60.268448,4.7630687,27.571259,1490.8944
CO,GO,2016-07-01,38.272713,24.088457,45.27921,5.8677416,27.565361,1582.9805
CO,GO,2016-10-01,398.20926,24.599403,67.64121,5.9684267,27.465862,1493.7125
CO,GO,2017-01-01,506.8821,24.10758,74.288536,5.020877,27.485088,1526.4237
CO,GO,2017-04-01,125.62606,23.042183,66.560844,4.9585657,27.55064,1467.6895
CO,GO,2017-07-01,13.725001,22.951431,43.593037,7.247381,27.685265,1650.8729
CO,GO,2017-10-01,527.50867,25.115519,64.081154,6.3802676,27.536287,1440.3359
CO,GO,2018-01-01,486.14435,24.19603,74.80756,5.080481,27.522186,1539.9799
CO,GO,2018-04-01,108.191986,22.213913,65.72671,4.740925,27.608522,1433.259
CO,GO,2018-07-01,52.661537,23.771656,47.69446,5.530637,27.631426,1528.8533
CO,GO,2018-10-01,653.1389,24.534458,72.20888,5.1720324,27.550354,1369.4603
CO,GO,2019-01-01,516.2618,24.55065,73.784424,4.5764546,27.586815,1512.1256
CO,GO,2019-04-01,155.50766,23.111568,69.17364,4.206798,27.631502,1327.6707
CO,GO,2019-07-01,19.084616,24.145357,44.338406,5.980302,27.656895,1491.4517
CO,GO,2019-10-01,404.69244,25.81244,63.504234,5.282845,27.536987,1522.3594
CO,GO,2020-01-01,713.4082,24.653036,76.31337,4.850419,27.560282,1443.5497
CO,GO,2020-04-01,123.33843,22.705238,68.21733,4.565393,27.646547,1410.1373
CO,GO,2020-07-01,10.623077,24.261583,43.59125,6.5866013,27.643444,1607.2706
CO,GO,2020-10-01,347.0309,26.019386,61.831787,5.3744965,27.54941,1570.697
